Augment,Size,Class,f1-score
aeda,1000,neither,0.8382352941176471
aeda,1000,oppose,0.5768194070080862
aeda,1000,support,0.7558620689655172
aeda,1000,accuracy,0.780791788856305
aeda,1000,macro avg,0.7236389233637501
aeda,1000,weighted avg,0.7751207807728093
aeda,100,neither,0.738498789346247
aeda,100,oppose,0.2721518987341772
aeda,100,support,0.6368421052631579
aeda,100,accuracy,0.656158357771261
aeda,100,macro avg,0.5491642644478607
aeda,100,weighted avg,0.6386908885989597
aeda,2000,neither,0.8659397049390635
aeda,2000,oppose,0.7030878859857482
aeda,2000,support,0.7914438502673797
aeda,2000,accuracy,0.8203812316715543
aeda,2000,macro avg,0.7868238137307305
aeda,2000,weighted avg,0.8200789407228701
aeda,200,neither,0.7630662020905923
aeda,200,oppose,0.38323353293413176
aeda,200,support,0.6011904761904762
aeda,200,accuracy,0.6766862170087976
aeda,200,macro avg,0.5824967370717334
aeda,200,weighted avg,0.6594537756565098
aeda,5000,neither,0.8787301587301587
aeda,5000,oppose,0.7046632124352331
aeda,5000,support,0.78748370273794
aeda,5000,accuracy,0.8284457478005866
aeda,5000,macro avg,0.7902923579677772
aeda,5000,weighted avg,0.8264311775084954
aeda,500,neither,0.7961630695443646
aeda,500,oppose,0.4692737430167598
aeda,500,support,0.698005698005698
aeda,500,accuracy,0.7280058651026393
aeda,500,macro avg,0.6544808368556074
aeda,500,weighted avg,0.7186091340897248
base,1000,neither,0.8229607250755288
base,1000,oppose,0.5116279069767442
base,1000,support,0.7462277091906722
base,1000,accuracy,0.7631964809384164
base,1000,macro avg,0.6936054470809817
base,1000,weighted avg,0.7538262402659855
base,100,neither,0.6887052341597796
base,100,oppose,0.356234096692112
base,100,support,0.6183465458663646
base,100,accuracy,0.6180351906158358
base,100,macro avg,0.5544286255727521
base,100,weighted avg,0.6181465159880496
base,2000,neither,0.8655948553054662
base,2000,oppose,0.6666666666666666
base,2000,support,0.779874213836478
base,2000,accuracy,0.8130498533724341
base,2000,macro avg,0.7707119119362037
base,2000,weighted avg,0.8110644226057369
base,200,neither,0.7531683765841883
base,200,oppose,0.3480825958702065
base,200,support,0.639344262295082
base,200,accuracy,0.6722873900293255
base,200,macro avg,0.580198411583159
base,200,weighted avg,0.6592679906679024
base,5000,neither,0.8778337531486146
base,5000,oppose,0.6786632390745502
base,5000,support,0.7909454061251664
base,5000,accuracy,0.8255131964809385
base,5000,macro avg,0.7824807994494437
base,5000,weighted avg,0.8229367732868602
base,500,neither,0.7728065078442766
base,500,oppose,0.47058823529411764
base,500,support,0.6276923076923077
base,500,accuracy,0.6986803519061584
base,500,macro avg,0.623695683610234
base,500,weighted avg,0.6857607836881615
bt,1000,neither,0.8485229415461973
bt,1000,oppose,0.6025316455696202
bt,1000,support,0.7628032345013477
